,VOI.t0,VOI.t1,VOI.t2,VOI.t3,VOI.t4,VOI.t5,OIR.t0,OIR.t1,OIR.t2,OIR.t3,OIR.t4,OIR.t5,MPB.t0,MPB.t1,MPB.t2,MPB.t3,MPB.t4,MPB.t5
rbj5_2025-02-06,-2.131356313536711e-07,-4.1649273446026104e-07,-3.1752128678321543e-06,-4.607327867314268e-06,-4.849825651668848e-06,-3.324528122986191e-06,0.0001033514012374808,-1.9829188505823557e-05,-2.678995156261359e-06,-5.02354671306073e-06,-8.148274355113864e-06,-1.657122681097357e-05,-0.06716598171727145,0.11248861619579069,-0.1087037242612376,0.1151401190930278,-0.1523236576438458,0.11379686020378611
rbj5_2025-02-07,8.266135597958806e-07,1.0344835150233862e-06,1.616573831356001e-07,-6.035735973187073e-07,-6.103223180817298e-07,-1.312445049339418e-07,0.00011329512829791306,-2.7012662391711168e-05,-2.3533429569757227e-05,2.283429358147456e-06,-4.738419344255956e-06,-7.826310361597094e-06,0.04421780489134005,-0.04197012211013541,0.011586585657903846,0.0012884545579670865,-0.03529948053278331,0.0321698544848953
rbj5_2025-02-10,2.343190511134554e-06,2.48272638674676e-06,2.5414201930162476e-06,3.135376998956802e-06,2.5700858289251574e-06,-2.9766771754121463e-07,0.00012007807594767661,-1.1835767933350218e-05,-4.048351716222393e-06,4.646740458269934e-06,6.227451280362159e-06,2.3523660881560186e-05,0.015652001336750206,-0.0013915623130158147,-0.028545364536287934,0.04977555106762918,-0.01514843286860824,-0.009919327050958443
rbj5_2025-02-11,1.0538647652153295e-06,1.2208354420036107e-06,7.874889088457048e-07,8.276890763751932e-07,1.0531127598252235e-06,1.2754991889995964e-06,0.00011816583418642688,-1.8573218473502178e-05,-1.726750671085516e-05,-1.6048886403900664e-05,-6.040031627049562e-06,-1.3150592525411746e-05,-0.009250795103985281,-0.02743027181484172,0.012739386693974505,0.011737501489892771,-0.020063822006300514,0.04285535632750271
rbj5_2025-02-12,-6.630684066404618e-07,-2.484477710154073e-07,-1.8350156639586075e-07,8.043793879672545e-07,3.57839777597031e-07,1.809361378875924e-07,0.000116007604467234,-2.6920242021526456e-05,-2.975222766888149e-05,-2.3644095850002088e-05,-4.077516314419408e-06,-6.7077352715458635e-06,0.00043010084475686737,0.0011622166706552564,-0.012553894642880654,-0.005116037913064522,0.008730368166903073,0.0082780435866117
rbj5_2025-02-13,7.190839980152048e-06,7.647577436704365e-06,8.498690517229719e-06,8.36087345831225e-06,6.989094555953743e-06,5.474106987355426e-06,9.014433479563026e-05,-2.5787696294476848e-05,-3.1176256917339536e-05,-1.8675080180344e-05,-1.1478686424082086e-05,-9.095823496001062e-06,-0.06774695339107753,0.12204133714661891,-0.08461226457279217,0.07230101923404132,-0.02309601812011897,-0.018292827807040665
rbj5_2025-02-14,1.8259105840742854e-06,1.035902052561349e-06,1.8211507246120544e-06,1.9733115284469053e-06,1.5220864671156951e-06,5.971478808125718e-07,0.00014036785301949848,-6.414561210561312e-06,-2.6031047478406984e-05,-1.0918592931530065e-05,1.7810304894405092e-06,1.7621296399584916e-05,-0.045390769991969594,0.072384519629272,-0.05228343863381662,0.06429392967798186,-0.08560111930675349,0.04851745820041175
rbj5_2025-02-16,-6.197774587829437e-05,-0.00010780737966701909,-5.696904291516442e-05,1.934738628811833e-05,2.026863415197194e-05,3.8110767186081935e-05,0.0004629169290197239,0.00017288318267600188,-6.684671184980008e-05,-6.660248442528179e-05,-0.0001726928801168497,-0.00015108334221117004,0.63245589947025,-0.3152381614398294,0.039211893691042714,0.03552121449395706,0.27490262386106684,-0.3865747307733556
rbj5_2025-02-17,-2.4761359074512464e-07,1.1157564883973509e-06,1.5422693407098073e-06,1.6707526581230611e-06,2.673603860545369e-06,3.873659477357066e-06,0.00017713306246525522,-4.038837974857853e-05,-5.870938045869676e-05,-4.0072557332467386e-05,-7.82287246471655e-05,-8.111776554462048e-05,0.15132334665151542,-0.158838969830318,0.15260375394972744,-0.1552280743886326,0.14014452470956934,-0.10154737595747414
rbj5_2025-02-18,2.198815358123169e-06,3.162327663479365e-06,2.6729790459027793e-06,2.0586166087725163e-06,1.673432385716967e-06,3.353438506505824e-06,9.819443156341967e-05,-3.819812111535965e-05,-3.0306547715151334e-05,-2.5501639748421e-05,-9.305237585897218e-06,-2.65183761952863e-05,-0.04589536425117193,0.04119147308099554,-0.0597218393548417,0.06652865911923773,-0.06357003443021411,0.07086492201634685
